,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
477,DIRA2,5.030982373,0.200533563,0.663355697,0.302301712,0.762422073,0.968208508
478,DIRA2,1.909850272,0.910339881,1.364989431,0.666920828,0.504822706,0.868971571
479,DIRA2,15.11498914,0.176581937,0.444955238,0.39685326,0.691475673,0.947073417
480,2A5E,94.31990511,0.332970143,0.313884719,1.060803927,0.288779017,0.726799552
481,2A5E,681.0653607,0.035204955,0.052839315,0.666264415,0.505242107,0.869277909
482,RED1,92.77745906,0.116585354,0.212536617,0.548542439,0.583319497,0.90592916
483,R113A,117.582467,-0.107521983,0.154759044,-0.694770273,0.487199281,0.861114754
484,SF3A2,273.670035,-0.361783258,0.198540049,-1.82221803,0.06842191,0.420333999
485,TBCB,81.93438152,0.237427511,0.268756568,0.883429614,0.377004196,0.793766263
486,ELOV5,33.02831989,0.226431269,0.218878994,1.034504341,0.300900448,0.737749091
487,UNC7,0,NA,NA,NA,NA,NA
488,CALM,196.112111,0.194879424,0.140971293,1.382405024,0.166847374,0.595585244
489,CP4FN,170.0010033,0.907681529,0.805520028,1.126826767,0.259815731,0.698903947
490,CP4FN,113.4052508,-0.034769697,0.493727702,-0.070422819,0.943857129,0.995507377
491,ITFG2,105.137925,-0.082817876,0.165731959,-0.49970975,0.617279466,0.920865102
492,CLCA,130.805686,-0.053241192,0.177073476,-0.300672877,0.763663953,0.968460071
493,CDKAL,29.80115776,0.871965134,1.118258273,0.779752903,0.435536333,0.834067328
494,CDKAL,153.5671827,-0.02212071,0.273067428,-0.081008235,0.935435403,0.995498338
495,UNC7,150.2169743,-0.223266784,0.241901038,-0.922967449,0.356024169,0.780359485
496,UNC7,54.10916935,-0.091659596,0.739778297,-0.12390144,0.901393313,0.990571706
497,MORN5,139.8525064,0.097707157,0.160237764,0.60976361,0.542018411,0.885673069
498,DUOX2,2039.440952,0.189460846,0.134977938,1.403643064,0.160425165,0.586665276
499,GPSM2,75.27746149,0.373033634,0.28184467,1.323543334,0.185654755,0.619354321
500,CSTF2,387.2000747,-0.381058998,0.172701647,-2.206458389,0.027351921,0.284433738
501,CC177,135.5083054,0.382143444,0.165937878,2.302930762,0.021282739,0.253800672
502,S238A,5142.263196,0.16350745,0.113081583,1.445924674,0.14819833,0.569823763
503,S238A,6728.105634,0.025930529,0.140640893,0.184374034,0.853720038,0.982933343
